bin_start_ms,aoi,prop_fixating,trial,condition,target_pos,subject_nr
200.0,pos1,0.0,12,non-restrictive,1,1
200.0,pos2,1.0,12,non-restrictive,1,1
200.0,pos3,0.0,12,non-restrictive,1,1
200.0,pos4,0.0,12,non-restrictive,1,1
200.0,subject,0.0,12,non-restrictive,1,1
250.0,pos1,0.0,12,non-restrictive,1,1
250.0,pos2,1.0,12,non-restrictive,1,1
250.0,pos3,0.0,12,non-restrictive,1,1
250.0,pos4,0.0,12,non-restrictive,1,1
250.0,subject,0.0,12,non-restrictive,1,1
300.0,pos1,0.0,12,non-restrictive,1,1
300.0,pos2,1.0,12,non-restrictive,1,1
300.0,pos3,0.0,12,non-restrictive,1,1
300.0,pos4,0.0,12,non-restrictive,1,1
300.0,subject,0.0,12,non-restrictive,1,1
0.0,pos1,0.0,13,restrictive,4,1
0.0,pos2,0.0,13,restrictive,4,1
0.0,pos3,0.0,13,restrictive,4,1
0.0,pos4,0.0,13,restrictive,4,1
0.0,subject,0.0,13,restrictive,4,1
50.0,pos1,0.0,13,restrictive,4,1
50.0,pos2,0.0,13,restrictive,4,1
50.0,pos3,0.0,13,restrictive,4,1
50.0,pos4,0.0,13,restrictive,4,1
50.0,subject,0.0,13,restrictive,4,1
100.0,pos1,0.0,13,restrictive,4,1
100.0,pos2,0.0,13,restrictive,4,1
100.0,pos3,0.0,13,restrictive,4,1
100.0,pos4,0.0,13,restrictive,4,1
100.0,subject,0.0,13,restrictive,4,1
150.0,pos1,0.0,13,restrictive,4,1
150.0,pos2,0.0,13,restrictive,4,1
150.0,pos3,0.0,13,restrictive,4,1
150.0,pos4,0.0,13,restrictive,4,1
150.0,subject,0.0,13,restrictive,4,1
200.0,pos1,0.0,13,restrictive,4,1
200.0,pos2,0.0,13,restrictive,4,1
200.0,pos3,0.0,13,restrictive,4,1
200.0,pos4,0.0,13,restrictive,4,1
200.0,subject,0.0,13,restrictive,4,1
250.0,pos1,0.0,13,restrictive,4,1
250.0,pos2,0.0,13,restrictive,4,1
250.0,pos3,0.0,13,restrictive,4,1
250.0,pos4,0.0,13,restrictive,4,1
250.0,subject,0.0,13,restrictive,4,1
0.0,pos1,0.0,14,restrictive,2,1
0.0,pos2,0.0,14,restrictive,2,1
0.0,pos3,0.0,14,restrictive,2,1
0.0,pos4,0.0,14,restrictive,2,1
0.0,subject,0.0,14,restrictive,2,1
50.0,pos1,0.0,14,restrictive,2,1
50.0,pos2,0.0,14,restrictive,2,1
50.0,pos3,0.0,14,restrictive,2,1
50.0,pos4,0.0,14,restrictive,2,1
50.0,subject,0.0,14,restrictive,2,1
100.0,pos1,0.0,14,restrictive,2,1
100.0,pos2,0.0,14,restrictive,2,1
100.0,pos3,0.0,14,restrictive,2,1
100.0,pos4,0.0,14,restrictive,2,1
100.0,subject,0.0,14,restrictive,2,1
150.0,pos1,0.0,14,restrictive,2,1
150.0,pos2,0.0,14,restrictive,2,1
150.0,pos3,0.0,14,restrictive,2,1
150.0,pos4,0.0,14,restrictive,2,1
150.0,subject,0.0,14,restrictive,2,1
200.0,pos1,0.0,14,restrictive,2,1
200.0,pos2,0.0,14,restrictive,2,1
200.0,pos3,0.0,14,restrictive,2,1
200.0,pos4,0.0,14,restrictive,2,1
200.0,subject,0.0,14,restrictive,2,1
0.0,pos1,0.0,15,restrictive,2,1
0.0,pos2,0.0,15,restrictive,2,1
0.0,pos3,0.0,15,restrictive,2,1
0.0,pos4,0.0,15,restrictive,2,1
0.0,subject,0.0,15,restrictive,2,1
50.0,pos1,0.0,15,restrictive,2,1
50.0,pos2,0.0,15,restrictive,2,1
50.0,pos3,0.0,15,restrictive,2,1
50.0,pos4,0.0,15,restrictive,2,1
50.0,subject,0.0,15,restrictive,2,1
100.0,pos1,0.0,15,restrictive,2,1
100.0,pos2,0.0,15,restrictive,2,1
100.0,pos3,0.0,15,restrictive,2,1
100.0,pos4,0.0,15,restrictive,2,1
100.0,subject,0.0,15,restrictive,2,1
150.0,pos1,0.0,15,restrictive,2,1
150.0,pos2,0.0,15,restrictive,2,1
150.0,pos3,0.0,15,restrictive,2,1
150.0,pos4,0.0,15,restrictive,2,1
150.0,subject,0.0,15,restrictive,2,1
200.0,pos1,0.0,15,restrictive,2,1
200.0,pos2,0.0,15,restrictive,2,1
200.0,pos3,0.0,15,restrictive,2,1
200.0,pos4,0.0,15,restrictive,2,1
200.0,subject,0.0,15,restrictive,2,1
250.0,pos1,0.0,15,restrictive,2,1
250.0,pos2,0.0,15,restrictive,2,1
250.0,pos3,0.0,15,restrictive,2,1
250.0,pos4,0.0,15,restrictive,2,1
250.0,subject,0.0,15,restrictive,2,1
0.0,pos1,0.0,16,restrictive,2,1
0.0,pos2,0.0,16,restrictive,2,1
0.0,pos3,0.0,16,restrictive,2,1
0.0,pos4,0.0,16,restrictive,2,1
0.0,subject,0.0,16,restrictive,2,1
50.0,pos1,0.0,16,restrictive,2,1
50.0,pos2,0.0,16,restrictive,2,1
50.0,pos3,0.0,16,restrictive,2,1
50.0,pos4,0.0,16,restrictive,2,1
50.0,subject,0.0,16,restrictive,2,1
100.0,pos1,0.0,16,restrictive,2,1
100.0,pos2,0.0,16,restrictive,2,1
100.0,pos3,0.0,16,restrictive,2,1
100.0,pos4,0.0,16,restrictive,2,1
100.0,subject,0.0,16,restrictive,2,1
150.0,pos1,0.0,16,restrictive,2,1
150.0,pos2,0.0,16,restrictive,2,1
150.0,pos3,0.0,16,restrictive,2,1
150.0,pos4,0.0,16,restrictive,2,1
150.0,subject,0.0,16,restrictive,2,1
200.0,pos1,0.0,16,restrictive,2,1
200.0,pos2,0.0,16,restrictive,2,1
200.0,pos3,0.0,16,restrictive,2,1
200.0,pos4,0.0,16,restrictive,2,1
200.0,subject,0.0,16,restrictive,2,1
250.0,pos1,0.0,16,restrictive,2,1
250.0,pos2,0.0,16,restrictive,2,1
250.0,pos3,0.0,16,restrictive,2,1
250.0,pos4,0.0,16,restrictive,2,1
250.0,subject,0.0,16,restrictive,2,1
0.0,pos1,0.0,17,restrictive,2,1
0.0,pos2,0.0,17,restrictive,2,1
0.0,pos3,0.0,17,restrictive,2,1
0.0,pos4,0.0,17,restrictive,2,1
0.0,subject,0.0,17,restrictive,2,1
50.0,pos1,0.0,17,restrictive,2,1
50.0,pos2,0.0,17,restrictive,2,1
50.0,pos3,0.0,17,restrictive,2,1
50.0,pos4,0.0,17,restrictive,2,1
50.0,subject,0.0,17,restrictive,2,1
100.0,pos1,0.0,17,restrictive,2,1
100.0,pos2,0.0,17,restrictive,2,1
100.0,pos3,0.0,17,restrictive,2,1
100.0,pos4,0.0,17,restrictive,2,1
100.0,subject,0.0,17,restrictive,2,1
150.0,pos1,0.0,17,restrictive,2,1
150.0,pos2,0.0,17,restrictive,2,1
150.0,pos3,0.0,17,restrictive,2,1
150.0,pos4,0.0,17,restrictive,2,1
150.0,subject,0.0,17,restrictive,2,1
200.0,pos1,0.0,17,restrictive,2,1
200.0,pos2,0.0,17,restrictive,2,1
200.0,pos3,0.0,17,restrictive,2,1
200.0,pos4,0.0,17,restrictive,2,1
200.0,subject,0.0,17,restrictive,2,1
250.0,pos1,0.0,17,restrictive,2,1
250.0,pos2,0.0,17,restrictive,2,1
250.0,pos3,0.0,17,restrictive,2,1
250.0,pos4,0.0,17,restrictive,2,1
250.0,subject,0.0,17,restrictive,2,1
0.0,pos1,0.0,18,non-restrictive,1,1
0.0,pos2,0.0,18,non-restrictive,1,1
0.0,pos3,0.0,18,non-restrictive,1,1
0.0,pos4,0.0,18,non-restrictive,1,1
0.0,subject,0.0,18,non-restrictive,1,1
50.0,pos1,0.0,18,non-restrictive,1,1
50.0,pos2,0.0,18,non-restrictive,1,1
50.0,pos3,0.0,18,non-restrictive,1,1
50.0,pos4,0.0,18,non-restrictive,1,1
50.0,subject,0.0,18,non-restrictive,1,1
100.0,pos1,0.0,18,non-restrictive,1,1
100.0,pos2,0.0,18,non-restrictive,1,1
100.0,pos3,0.0,18,non-restrictive,1,1
100.0,pos4,0.0,18,non-restrictive,1,1
100.0,subject,0.0,18,non-restrictive,1,1
150.0,pos1,0.0,18,non-restrictive,1,1
150.0,pos2,0.0,18,non-restrictive,1,1
150.0,pos3,0.0,18,non-restrictive,1,1
150.0,pos4,0.0,18,non-restrictive,1,1
150.0,subject,0.0,18,non-restrictive,1,1
200.0,pos1,0.0,18,non-restrictive,1,1
200.0,pos2,0.0,18,non-restrictive,1,1
200.0,pos3,0.0,18,non-restrictive,1,1
200.0,pos4,0.0,18,non-restrictive,1,1
200.0,subject,0.0,18,non-restrictive,1,1
250.0,pos1,0.0,18,non-restrictive,1,1
250.0,pos2,0.0,18,non-restrictive,1,1
250.0,pos3,0.0,18,non-restrictive,1,1
250.0,pos4,0.0,18,non-restrictive,1,1
250.0,subject,0.0,18,non-restrictive,1,1
0.0,pos1,0.0,19,non-restrictive,1,1
0.0,pos2,0.0,19,non-restrictive,1,1
0.0,pos3,0.0,19,non-restrictive,1,1
0.0,pos4,0.0,19,non-restrictive,1,1
0.0,subject,0.0,19,non-restrictive,1,1
50.0,pos1,0.0,19,non-restrictive,1,1
50.0,pos2,0.0,19,non-restrictive,1,1
50.0,pos3,0.0,19,non-restrictive,1,1
50.0,pos4,0.0,19,non-restrictive,1,1
50.0,subject,0.0,19,non-restrictive,1,1
100.0,pos1,0.0,19,non-restrictive,1,1
100.0,pos2,0.0,19,non-restrictive,1,1
100.0,pos3,0.0,19,non-restrictive,1,1
100.0,pos4,0.0,19,non-restrictive,1,1
100.0,subject,0.0,19,non-restrictive,1,1
150.0,pos1,0.0,19,non-restrictive,1,1
150.0,pos2,0.0,19,non-restrictive,1,1
150.0,pos3,0.0,19,non-restrictive,1,1
150.0,pos4,0.0,19,non-restrictive,1,1
150.0,subject,0.0,19,non-restrictive,1,1
200.0,pos1,0.0,19,non-restrictive,1,1
200.0,pos2,0.0,19,non-restrictive,1,1
200.0,pos3,0.0,19,non-restrictive,1,1
200.0,pos4,0.0,19,non-restrictive,1,1
